"Marijuana_Arrest Type","Adult/Juvenile","Arrest Year","Arrest Date","Arrest Time","Age","Defendant Race","Defendant Sex","Charge Description"
"Possession","Adult",2013,"2/23/2013","22:31:00","36","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/23/2013","22:35:00","19","B","M","Ucsa Poss Marijuana"
"Possession","Juvenile",2013,"2/23/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Poss Marijuana"
"Possession with intent to distribute","Juvenile",2013,"2/23/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Pwid Marijuana"
"Distribution","Adult",2013,"2/24/2013","0:43:00","33","B","F","Ucsa Dist Marijuana"
"Possession","Adult",2013,"2/24/2013","2:22:00","22","W","F","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"2/24/2013","2:34:00","22","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"2/24/2013","15:20:00","20","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/24/2013","15:30:00","29","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/24/2013","15:39:00","58","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"2/24/2013","19:45:00","21","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"2/24/2013","20:17:00","31","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"2/24/2013","23:27:00","33","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"2/25/2013","18:19:00","20","W","M","Poss W/i To Dist Marijuana-fel"
"Possession","Adult",2013,"2/25/2013","21:34:00","21","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Juvenile",2013,"2/25/2013","Juvenile","Juvenile","Juvenile","Juvenile","Poss W/i To Dist Marijuana-misd"
"Possession with intent to distribute","Juvenile",2013,"2/25/2013","Juvenile","Juvenile","Juvenile","Juvenile","Poss W/i To Dist Marijuana-misd"
"Possession","Adult",2013,"2/26/2013","14:00:00","21","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"2/26/2013","20:00:00","33","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"2/26/2013","20:42:00","32","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/26/2013","22:15:00","24","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/26/2013","22:48:00","20","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"2/27/2013","6:52:00","23","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"2/27/2013","15:00:00","45","B","F","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"2/27/2013","19:36:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/27/2013","20:20:00","20","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/27/2013","20:27:00","42","U","M","Ucsa Poss Marijuana"
"Distribution","Adult",2013,"2/27/2013","20:42:00","23","B","M","Distribution Of Marijuana-misd"
"Possession","Adult",2013,"2/27/2013","20:42:00","52","B","F","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"2/27/2013","21:05:00","18","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"2/27/2013","22:32:00","44","U","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/28/2013","0:01:00","33","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/28/2013","0:01:00","43","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"2/28/2013","0:24:00","28","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"2/28/2013","3:25:00","20","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/28/2013","14:14:00","59","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/28/2013","17:29:00","22","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/28/2013","20:30:00","21","B","F","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"2/28/2013","20:30:00","26","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"2/28/2013","20:48:00","33","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"2/28/2013","20:48:00","41","B","M","Ucsa Poss Marijuana"
"Possession","Juvenile",2013,"2/28/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/1/2013","14:56:00","37","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/1/2013","16:03:00","42","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/1/2013","17:09:00","40","B","M","Poss W/i To Dist Marijuana-misd"
"Possession with intent to distribute","Adult",2013,"3/1/2013","18:27:00","28","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/1/2013","18:38:00","29","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/1/2013","19:37:00","30","B","M","Poss W/i To Dist Marijuana-misd"
"Possession","Adult",2013,"3/1/2013","19:40:00","30","U","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/1/2013","19:47:00","42","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/1/2013","20:36:00","19","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/1/2013","21:15:00","33","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/1/2013","21:25:00","25","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/1/2013","22:27:00","25","B","M","Ucsa Poss Marijuana"
"Distribution","Adult",2013,"3/1/2013","22:27:00","31","B","M","Ucsa Dist Marijuana"
"Possession with intent to distribute","Adult",2013,"3/1/2013","22:27:00","33","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/1/2013","22:30:00","32","U","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/1/2013","23:29:00","21","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/1/2013","23:32:00","58","B","F","Ucsa Poss Marijuana"
"Possession","Juvenile",2013,"3/1/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/2/2013","1:45:00","22","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2013,"3/2/2013","13:47:00","26","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/2/2013","15:43:00","24","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/2/2013","17:57:00","36","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/2/2013","21:13:00","39","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/2/2013","21:21:00","47","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/2/2013","21:48:00","68","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/2/2013","23:05:00","43","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/3/2013","0:30:00","21","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/3/2013","1:30:00","35","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/3/2013","2:40:00","20","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/3/2013","4:20:00","30","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/3/2013","18:30:00","33","B","F","Ucsa Poss Marijuana"
"Possession","Juvenile",2013,"3/3/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/4/2013","2:15:00","20","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/4/2013","8:20:00","57","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/5/2013","19:13:00","23","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/5/2013","20:09:00","26","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/5/2013","20:40:00","24","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/5/2013","22:01:00","35","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/6/2013","0:23:00","54","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/6/2013","16:30:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2013,"3/6/2013","17:24:00","22","W","F","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/6/2013","20:21:00","20","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/6/2013","21:15:00","49","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","0:14:00","26","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","1:13:00","35","W","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","1:33:00","38","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","3:16:00","41","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","15:55:00","33","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/7/2013","17:16:00","25","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/7/2013","17:59:00","27","U","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","18:00:00","22","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","18:00:00","31","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","19:20:00","19","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/7/2013","21:15:00","63","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Juvenile",2013,"3/7/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/8/2013","0:51:00","29","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","0:55:00","26","U","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","15:19:00","21","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","15:41:00","22","U","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","16:45:00","19","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/8/2013","16:49:00","36","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/8/2013","18:49:00","48","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","19:36:00","43","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","20:13:00","21","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","20:36:00","27","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","21:53:00","29","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","23:15:00","26","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","23:18:00","23","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/8/2013","23:31:00","25","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","16:00:00","23","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","17:00:00","47","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","17:20:00","23","U","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","17:47:00","22","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","17:51:00","41","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","18:11:00","35","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","18:11:00","40","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","18:11:00","47","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","18:28:00","29","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/9/2013","19:54:00","35","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/9/2013","20:34:00","28","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/9/2013","21:00:00","24","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/9/2013","23:20:00","37","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/9/2013","23:49:00","24","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/10/2013","1:30:00","38","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/10/2013","16:33:00","46","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/10/2013","16:54:00","30","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/10/2013","17:30:00","46","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/10/2013","20:43:00","19","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/11/2013","0:07:00","19","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/11/2013","16:12:00","19","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/11/2013","19:07:00","18","U","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/11/2013","19:07:00","19","U","M","Ucsa Poss Marijuana"
"Distribution","Juvenile",2013,"3/11/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Dist Marijuana"
"Possession","Adult",2013,"3/12/2013","15:31:00","35","B","M","Ucsa Poss Marijuana"
"Distribution","Adult",2013,"3/12/2013","16:44:00","24","B","M","Ucsa Dist Marijuana"
"Possession with intent to distribute","Adult",2013,"3/12/2013","16:44:00","26","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/12/2013","17:22:00","20","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/12/2013","18:18:00","22","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/12/2013","19:20:00","22","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/12/2013","19:20:00","34","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/12/2013","19:42:00","35","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/12/2013","21:25:00","54","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/12/2013","21:42:00","36","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/12/2013","21:42:00","37","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/13/2013","16:00:00","55","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/13/2013","18:00:00","31","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/13/2013","18:35:00","40","B","F","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/13/2013","20:22:00","57","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/13/2013","21:41:00","20","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/13/2013","23:30:00","21","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/14/2013","17:45:00","21","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/14/2013","18:23:00","19","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/14/2013","19:15:00","35","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/14/2013","20:41:00","43","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/14/2013","20:50:00","31","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/14/2013","21:54:00","58","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/14/2013","21:57:00","64","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/15/2013","19:24:00","18","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/15/2013","19:24:00","18","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/15/2013","19:24:00","21","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/15/2013","19:24:00","22","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/15/2013","23:21:00","21","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/15/2013","23:46:00","19","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/16/2013","1:16:00","39","W","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/16/2013","16:09:00","30","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/16/2013","19:19:00","25","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/16/2013","21:17:00","55","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/16/2013","21:47:00","32","W","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/17/2013","0:03:00","49","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/17/2013","0:13:00","27","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/17/2013","1:15:00","24","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/17/2013","15:47:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/17/2013","15:47:00","22","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/17/2013","15:56:00","21","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/17/2013","17:00:00","37","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/17/2013","17:03:00","18","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/17/2013","23:49:00","68","W","M","Ucsa Poss Marijuana"
"Possession","Juvenile",2013,"3/17/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/18/2013","18:27:00","24","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/18/2013","21:13:00","22","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/19/2013","14:20:00","47","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/19/2013","15:13:00","21","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/19/2013","17:09:00","26","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/19/2013","21:39:00","22","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/19/2013","22:25:00","22","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/20/2013","0:04:00","18","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/20/2013","1:12:00","19","W","M","Poss W/i To Dist Marijuana-misd"
"Possession","Adult",2013,"3/20/2013","7:20:00","31","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/20/2013","15:45:00","52","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/20/2013","16:04:00","24","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/20/2013","16:22:00","30","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/20/2013","17:40:00","22","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/20/2013","17:45:00","44","W","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/20/2013","20:35:00","46","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/20/2013","20:40:00","20","B","M","Ucsa Poss Marijuana"
"Distribution","Adult",2013,"3/20/2013","20:46:00","36","B","M","Ucsa Dist Marijuana"
"Possession","Juvenile",2013,"3/20/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/21/2013","1:08:00","28","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/21/2013","1:14:00","32","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/21/2013","10:15:00","27","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/21/2013","17:10:00","64","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/21/2013","20:10:00","36","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/21/2013","21:00:00","21","W","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/22/2013","15:24:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/22/2013","15:24:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/22/2013","15:24:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/22/2013","17:00:00","48","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/22/2013","18:49:00","22","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/22/2013","19:34:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/22/2013","20:46:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/22/2013","22:30:00","23","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/23/2013","1:34:00","24","U","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/23/2013","9:52:00","22","B","M","Poss W/i To Dist Marijuana-fel"
"Possession","Adult",2013,"3/23/2013","14:29:00","46","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/23/2013","15:22:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/23/2013","15:22:00","19","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/23/2013","16:50:00","34","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/23/2013","17:05:00","44","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/23/2013","17:42:00","26","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/23/2013","20:48:00","55","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/23/2013","23:59:00","29","W","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/24/2013","17:03:00","59","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/24/2013","19:00:00","23","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/25/2013","16:16:00","23","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/25/2013","20:14:00","27","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/26/2013","17:13:00","22","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/26/2013","17:50:00","24","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/26/2013","18:00:00","22","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/26/2013","18:00:00","51","B","F","Ucsa Poss Marijuana"
"Distribution","Adult",2013,"3/26/2013","18:00:00","57","B","M","Ucsa Dist Marijuana"
"Possession","Adult",2013,"3/26/2013","19:23:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/26/2013","20:19:00","23","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/26/2013","20:19:00","38","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/26/2013","20:19:00","61","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/26/2013","20:19:00","63","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/26/2013","20:30:00","28","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/26/2013","23:51:00","26","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/27/2013","0:39:00","22","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/27/2013","12:55:00","33","B","M","Ucsa Pwid Marijuana"
"Distribution","Adult",2013,"3/27/2013","14:54:00","25","B","M","Ucsa Dist Marijuana"
"Possession","Adult",2013,"3/27/2013","14:54:00","38","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/27/2013","15:02:00","29","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/27/2013","15:02:00","31","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/27/2013","16:10:00","30","W","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/27/2013","17:17:00","25","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/27/2013","19:52:00","25","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/27/2013","22:54:00","29","W","M","Ucsa Poss Marijuana"
"Possession","Juvenile",2013,"3/27/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/28/2013","2:39:00","34","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/28/2013","16:46:00","52","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/28/2013","17:15:00","19","U","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/28/2013","21:45:00","45","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/28/2013","23:16:00","27","U","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/29/2013","0:26:00","21","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/29/2013","0:26:00","26","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/29/2013","0:26:00","26","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/29/2013","0:26:00","30","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2013,"3/29/2013","0:26:00","30","B","F","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Unknown",2013,"3/29/2013","7:45:00","Unk","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/29/2013","16:30:00","22","B","M","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/29/2013","17:00:00","26","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/29/2013","17:00:00","31","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/29/2013","17:14:00","28","B","F","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/29/2013","18:13:00","29","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/29/2013","20:55:00","46","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/29/2013","20:55:00","47","B","U","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/29/2013","21:30:00","19","B","M","Poss W/i To Dist Marijuana-misd"
"Possession","Juvenile",2013,"3/29/2013","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Poss Marijuana"
"Possession with intent to distribute","Adult",2013,"3/30/2013","14:56:00","26","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2013,"3/30/2013","18:59:00","18","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/30/2013","19:27:00","27","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/30/2013","19:44:00","35","B","F","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/30/2013","22:08:00","63","W","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/30/2013","23:04:00","21","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/30/2013","23:33:00","20","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/31/2013","0:27:00","30","B","M","Ucsa Poss Marijuana"
"Possession","Adult",2013,"3/31/2013","1:41:00","27","B","M","Ucsa Poss Marijuana"
